date,Conventional mortgage - 1-year,Conventional mortgage - 5-year,Conventional mortgage - 3-year,Prime rate
1975-01-01,,12,,11
1975-01-08,,12,,11
1975-01-15,,12,,10.5
1975-01-22,,12,,10.5
1975-01-29,,12,,10.5
1975-02-05,,11.5,,9.5
1975-02-12,,10.75,,9.5
1975-02-19,,10.75,,9.5
1975-02-26,,10.75,,9.5
1975-03-05,,10.75,,9
1975-03-12,,10.75,,9
1975-03-19,,10.5,,9
1975-03-26,,10.5,,9
1975-04-02,,10.5,,9
1975-04-09,,10.5,,9
1975-04-16,,10.5,,9
1975-04-23,,10.75,,9
1975-04-30,,10.75,,9
1975-05-07,,10.75,,9
1975-05-14,,10.75,,9
1975-05-21,,11,,9
1975-05-28,,11,,9
1975-06-04,,11,,9
1975-06-11,,11,,9
1975-06-18,,11,,9
1975-06-25,,11,,9
1975-07-02,,11,,9
1975-07-09,,11,,9
1975-07-16,,11.25,,9
1975-07-23,,11.25,,9
1975-07-30,,11.25,,9
1975-08-06,,11.25,,9
1975-08-13,,11.5,,9
1975-08-20,,11.5,,9
1975-08-27,,11.5,,9
1975-09-03,,11.5,,9
1975-09-10,,11.75,,9.75
1975-09-17,,11.75,,9.75
1975-09-24,,11.75,,9.75
1975-10-01,,12,,9.75
1975-10-08,,12,,9.75
1975-10-15,,12,,9.75
1975-10-22,,12,,9.75
1975-10-29,,12,,9.75
1975-11-05,,12,,9.75
1975-11-12,,12,,9.75
1975-11-19,,12,,9.75
1975-11-26,,12,,9.75
1975-12-03,,12,,9.75
1975-12-10,,12,,9.75
1975-12-17,,12,,9.75
1975-12-24,,12,,9.75
1975-12-31,,12,,9.75
1976-01-07,,12,,9.75
1976-01-14,,12,,9.75
1976-01-21,,12,,9.75
1976-01-28,,12,,9.75
1976-02-04,,12,,9.75
1976-02-11,,11.75,,9.75
1976-02-18,,11.75,,9.75
1976-02-25,,11.75,,9.75
1976-03-03,,11.75,,9.75
1976-03-10,,11.75,,10.25
1976-03-17,,11.75,,10.25
1976-03-24,,11.75,,10.25
1976-03-31,,11.75,,10.25
1976-04-07,,12,,10.25
1976-04-14,,12,,10.25
1976-04-21,,12,,10.25
1976-04-28,,12,,10.25
1976-05-05,,12,,10.25
1976-05-12,,12,,10.25
1976-05-19,,12,,10.25
1976-05-26,,12,,10.25
1976-06-02,,12,,10.25
1976-06-09,,12,,10.25
1976-06-16,,12,,10.25
1976-06-23,,12,,10.25
1976-06-30,,12,,10.25
1976-07-07,,12,,10.25
1976-07-14,,12,,10.25
1976-07-21,,12,,10.25
1976-07-28,,12,,10.25
1976-08-04,,12,,10.25
1976-08-11,,12,,10.25
1976-08-18,,12,,10.25
1976-08-25,,12,,10.25
1976-09-01,,12,,10.25
1976-09-08,,12,,10.25
1976-09-15,,11.75,,10.25
1976-09-22,,11.75,,10.25
1976-09-29,,11.75,,10.25
1976-10-06,,11.75,,10.25
1976-10-13,,11.75,,10.25
1976-10-20,,11.75,,10.25
1976-10-27,,11.75,,10.25
1976-11-03,,11.75,,10.25
1976-11-10,,11.75,,10.25
1976-11-17,,11.75,,10.25
1976-11-24,,11.25,,9.75
1976-12-01,,11.25,,9.75
1976-12-08,,11.25,,9.75
1976-12-15,,11.25,,9.75
1976-12-22,,11.25,,9.75
1976-12-29,,10.75,,9.25
1977-01-05,,10.75,,9.25
1977-01-12,,10.75,,9.25
1977-01-19,,10.75,,9.25
1977-01-26,,10.75,,9.25
1977-02-02,,10.75,,8.75
1977-02-09,,10.25,,8.75
1977-02-16,,10.25,,8.75
1977-02-23,,10.25,,8.75
1977-03-02,,10.25,,8.75
1977-03-09,,10.25,,8.75
1977-03-16,,10.25,,8.75
1977-03-23,,10.25,,8.75
1977-03-30,,10.25,,8.75
1977-04-06,,10.25,,8.75
1977-04-13,,10.25,,8.75
1977-04-20,,10.25,,8.75
1977-04-27,,10.25,,8.75
1977-05-04,,10.25,,8.75
1977-05-11,,10.25,,8.75
1977-05-18,,10.25,,8.75
1977-05-25,,10.25,,8.75
1977-06-01,,10.25,,8.25
1977-06-08,,10.25,,8.25
1977-06-15,,10.25,,8.25
1977-06-22,,10.25,,8.25
1977-06-29,,10.25,,8.25
1977-07-06,,10.25,,8.25
1977-07-13,,10.25,,8.25
1977-07-20,,10.25,,8.25
1977-07-27,,10.25,,8.25
1977-08-03,,10.25,,8.25
1977-08-10,,10.25,,8.25
1977-08-17,,10.25,,8.25
1977-08-24,,10.25,,8.25
1977-08-31,,10.25,,8.25
1977-09-07,,10.25,,8.25
1977-09-14,,10.25,,8.25
1977-09-21,,10.25,,8.25
1977-09-28,,10.25,,8.25
1977-10-05,,10.25,,8.25
1977-10-12,,10.25,,8.25
1977-10-19,,10.25,,8.25
1977-10-26,,10.25,,8.25
1977-11-02,,10.25,,8.25
1977-11-09,,10.25,,8.25
1977-11-16,,10.25,,8.25
1977-11-23,,10.25,,8.25
1977-11-30,,10.25,,8.25
1977-12-07,,10.25,,8.25
1977-12-14,,10.25,,8.25
1977-12-21,,10.25,,8.25
1977-12-28,,10.25,,8.25
1978-01-04,,10.25,,8.25
1978-01-11,,10.25,,8.25
1978-01-18,,10.25,,8.25
1978-01-25,,10.25,,8.25
1978-02-01,,10.25,,8.25
1978-02-08,,10.25,,8.25
1978-02-15,,10.25,,8.25
1978-02-22,,10.25,,8.25
1978-03-01,,10.25,,8.25
1978-03-08,,10.25,,8.25
1978-03-15,,10.25,,8.75
1978-03-22,,10.25,,8.75
1978-03-29,,10.25,,8.75
1978-04-05,,10.25,,9.25
1978-04-12,,10.25,,9.25
1978-04-19,,10.25,,9.25
1978-04-26,,10.25,,9.25
1978-05-03,,10.25,,9.25
1978-05-10,,10.25,,9.25
1978-05-17,,10.25,,9.25
1978-05-24,,10.25,,9.25
1978-05-31,,10.25,,9.25
1978-06-07,,10.25,,9.25
1978-06-14,,10.25,,9.25
1978-06-21,,10.25,,9.25
1978-06-28,,10.25,,9.25
1978-07-05,,10.25,,9.25
1978-07-12,,10.25,,9.25
1978-07-19,,10.25,,9.25
1978-07-26,,10.25,,9.25
1978-08-02,,10.25,,9.75
1978-08-09,,10.25,,9.75
1978-08-16,,10.25,,9.75
1978-08-23,,10.25,,9.75
1978-08-30,,10.25,,9.75
1978-09-06,,10.25,,9.75
1978-09-13,,10.25,,9.75
1978-09-20,,10.75,,10.25
1978-09-27,,10.75,,10.25
1978-10-04,,10.75,,10.25
1978-10-11,,10.75,,10.25
1978-10-18,,10.75,,11
1978-10-25,,11.25,,11
1978-11-01,,11.25,,11
1978-11-08,,11.25,,11.5
1978-11-15,,11.25,,11.5
1978-11-22,,11.25,,11.5
1978-11-29,,11.25,,11.5
1978-12-06,,11.25,,11.5
1978-12-13,,11.25,,11.5
1978-12-20,,11.25,,11.5
1978-12-27,,11.25,,11.5
1979-01-03,,11.25,,11.5
1979-01-10,,11.25,,12
1979-01-17,,11.25,,12
1979-01-24,,11.25,,12
1979-01-31,,11.25,,12
1979-02-07,,11.25,,12
1979-02-14,,11.25,,12
1979-02-21,,11.25,,12
1979-02-28,,11.25,,12
1979-03-07,,11.25,,12
1979-03-14,,11.25,,12
1979-03-21,,11,,12
1979-03-28,,11,,12
1979-04-04,,11,,12
1979-04-11,,11,,12
1979-04-18,,11,,12
1979-04-25,,11,,12
1979-05-02,,11,,12
1979-05-09,,11,,12
1979-05-16,,11,,12
1979-05-23,,11,,12
1979-05-30,,11.25,,12
1979-06-06,,11.25,,12
1979-06-13,,11.25,,12
1979-06-20,,11.25,,12
1979-06-27,,11.25,,12
1979-07-04,,11.25,,12
1979-07-11,,11.25,,12
1979-07-18,,11.25,,12
1979-07-25,,11.75,,12.5
1979-08-01,,11.75,,12.5
1979-08-08,,11.75,,12.5
1979-08-15,,11.75,,12.5
1979-08-22,,12,,12.5
1979-08-29,,12,,12.5
1979-09-05,,12,,12.5
1979-09-12,,12.75,,13
1979-09-19,,12.75,,13
1979-09-26,,12.75,,13
1979-10-03,,12.75,,13
1979-10-10,,13.75,,13.75
1979-10-17,,13.75,,13.75
1979-10-24,,13.75,,13.75
1979-10-31,,14.75,,14.75
1979-11-07,,14.75,,15
1979-11-14,,14.75,,15
1979-11-21,,14.75,,15
1979-11-28,,14.75,,15
1979-12-05,,13.75,,15
1979-12-12,,13.75,,15
1979-12-19,,13.25,,15
1979-12-26,,13.25,,15
1980-01-02,13.25,13.25,13.25,15
1980-01-09,13.25,13.25,13.25,15
1980-01-16,13.25,13.25,13.25,15
1980-01-23,13.25,13.25,13.25,15
1980-01-30,13.25,13.25,13.25,15
1980-02-06,13.25,13.25,13.25,15
1980-02-13,13.25,13.25,13.25,15
1980-02-20,13.75,13.75,13.75,15
1980-02-27,14.5,14.5,14.5,15
1980-03-05,14.5,14.5,14.5,15
1980-03-12,14.5,14.5,14.5,15
1980-03-19,15,15.25,15,15.75
1980-03-26,15.5,15.75,15.5,15.75
1980-04-02,16.25,16.75,16.5,16.5
1980-04-09,16.5,17.25,16.75,17.5
1980-04-16,16.75,17.5,16.75,17.5
1980-04-23,16.25,17,16.25,17.25
1980-04-30,16,16.75,16,16.75
1980-05-07,15,15.25,15,16.5
1980-05-14,14.5,15,14.5,15.75
1980-05-21,13.75,13.75,13.75,14.75
1980-05-28,13,13,13,13.75
1980-06-04,13,13,13,13.75
1980-06-11,13,13,13,13.75
1980-06-18,13,13,13,13.75
1980-06-25,13,13,13,13.25
1980-07-02,13,13,13,13.25
1980-07-09,13,13,13,13.25
1980-07-16,13,13,13,13
1980-07-23,13,13,13,12.75
1980-07-30,12.75,13.5,13.25,12.25
1980-08-06,12.75,13.5,13.25,12.25
1980-08-13,12.75,13.5,13.25,12.25
1980-08-20,12.75,13.75,13.25,12.25
1980-08-27,13,14,13.75,12.25
1980-09-03,13.25,14.25,14,12.25
