REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1946-01-01,Canada,2016A000011124,v1,1,12188000
1946-04-01,Canada,2016A000011124,v1,1,12241000
1946-07-01,Canada,2016A000011124,v1,1,12316000
1946-10-01,Canada,2016A000011124,v1,1,12393000
1947-01-01,Canada,2016A000011124,v1,1,12450000
1947-04-01,Canada,2016A000011124,v1,1,12507000
1947-07-01,Canada,2016A000011124,v1,1,12576000
1947-10-01,Canada,2016A000011124,v1,1,12646000
1948-01-01,Canada,2016A000011124,v1,1,12710000
1948-04-01,Canada,2016A000011124,v1,1,12773000
1948-07-01,Canada,2016A000011124,v1,1,12852000
1948-10-01,Canada,2016A000011124,v1,1,12930000
1949-01-01,Canada,2016A000011124,v1,1,12998000
1949-04-01,Canada,2016A000011124,v1,1,13399000
1949-07-01,Canada,2016A000011124,v1,1,13475000
1949-10-01,Canada,2016A000011124,v1,1,13548000
1950-01-01,Canada,2016A000011124,v1,1,13607000
1950-04-01,Canada,2016A000011124,v1,1,13663000
1950-07-01,Canada,2016A000011124,v1,1,13737000
1950-10-01,Canada,2016A000011124,v1,1,13807000
1951-01-01,Canada,2016A000011124,v1,1,13870000
1951-04-01,Canada,2016A000011124,v1,1,13937000
1951-07-01,Canada,2016A000011124,v1,1,14050000
1951-07-01,Newfoundland and Labrador,2016A000210,v2,2,362000
1951-07-01,Prince Edward Island,2016A000211,v8,3,99000
1951-07-01,Nova Scotia,2016A000212,v9,4,643000
1951-07-01,New Brunswick,2016A000213,v10,5,517000
1951-07-01,Quebec,2016A000224,v11,6,4066000
1951-07-01,Ontario,2016A000235,v12,7,4615000
1951-07-01,Manitoba,2016A000246,v13,8,778000
1951-07-01,Saskatchewan,2016A000247,v14,9,834000
1951-07-01,Alberta,2016A000248,v15,10,943000
1951-07-01,British Columbia,2016A000259,v3,11,1168000
1951-07-01,Yukon,2016A000260,v4,12,9000
1951-07-01,Northwest Territories including Nunavut,,v5,13,16000
1951-10-01,Canada,2016A000011124,v1,1,14163000
1951-10-01,Newfoundland and Labrador,2016A000210,v2,2,365000
1951-10-01,Prince Edward Island,2016A000211,v8,3,99000
1951-10-01,Nova Scotia,2016A000212,v9,4,646000
1951-10-01,New Brunswick,2016A000213,v10,5,519000
1951-10-01,Quebec,2016A000224,v11,6,4095000
1951-10-01,Ontario,2016A000235,v12,7,4665000
1951-10-01,Manitoba,2016A000246,v13,8,784000
1951-10-01,Saskatchewan,2016A000247,v14,9,836000
1951-10-01,Alberta,2016A000248,v15,10,950000
1951-10-01,British Columbia,2016A000259,v3,11,1179000
1951-10-01,Yukon,2016A000260,v4,12,9000
1951-10-01,Northwest Territories including Nunavut,,v5,13,16000
1952-01-01,Canada,2016A000011124,v1,1,14277000
1952-01-01,Newfoundland and Labrador,2016A000210,v2,2,368000
1952-01-01,Prince Edward Island,2016A000211,v8,3,100000
1952-01-01,Nova Scotia,2016A000212,v9,4,647000
1952-01-01,New Brunswick,2016A000213,v10,5,521000
1952-01-01,Quebec,2016A000224,v11,6,4126000
1952-01-01,Ontario,2016A000235,v12,7,4717000
1952-01-01,Manitoba,2016A000246,v13,8,789000
1952-01-01,Saskatchewan,2016A000247,v14,9,836000
1952-01-01,Alberta,2016A000248,v15,10,959000
1952-01-01,British Columbia,2016A000259,v3,11,1189000
1952-01-01,Yukon,2016A000260,v4,12,9000
1952-01-01,Northwest Territories including Nunavut,,v5,13,16000
1952-04-01,Canada,2016A000011124,v1,1,14376000
1952-04-01,Newfoundland and Labrador,2016A000210,v2,2,371000
1952-04-01,Prince Edward Island,2016A000211,v8,3,100000
1952-04-01,Nova Scotia,2016A000212,v9,4,651000
1952-04-01,New Brunswick,2016A000213,v10,5,524000
1952-04-01,Quebec,2016A000224,v11,6,4153000
1952-04-01,Ontario,2016A000235,v12,7,4757000
1952-04-01,Manitoba,2016A000246,v13,8,794000
1952-04-01,Saskatchewan,2016A000247,v14,9,838000
1952-04-01,Alberta,2016A000248,v15,10,965000
1952-04-01,British Columbia,2016A000259,v3,11,1198000
1952-04-01,Yukon,2016A000260,v4,12,9000
1952-04-01,Northwest Territories including Nunavut,,v5,13,16000
1952-07-01,Canada,2016A000011124,v1,1,14496000
1952-07-01,Newfoundland and Labrador,2016A000210,v2,2,375000
1952-07-01,Prince Edward Island,2016A000211,v8,3,100000
1952-07-01,Nova Scotia,2016A000212,v9,4,654000
1952-07-01,New Brunswick,2016A000213,v10,5,527000
1952-07-01,Quebec,2016A000224,v11,6,4183000
1952-07-01,Ontario,2016A000235,v12,7,4802000
1952-07-01,Manitoba,2016A000246,v13,8,799000
1952-07-01,Saskatchewan,2016A000247,v14,9,845000
1952-07-01,Alberta,2016A000248,v15,10,977000
1952-07-01,British Columbia,2016A000259,v3,11,1209000
1952-07-01,Yukon,2016A000260,v4,12,9000
1952-07-01,Northwest Territories including Nunavut,,v5,13,16000
1952-10-01,Canada,2016A000011124,v1,1,14598000
1952-10-01,Newfoundland and Labrador,2016A000210,v2,2,377000
1952-10-01,Prince Edward Island,2016A000211,v8,3,101000
1952-10-01,Nova Scotia,2016A000212,v9,4,657000
1952-10-01,New Brunswick,2016A000213,v10,5,529000
1952-10-01,Quebec,2016A000224,v11,6,4209000
1952-10-01,Ontario,2016A000235,v12,7,4841000
1952-10-01,Manitoba,2016A000246,v13,8,802000
1952-10-01,Saskatchewan,2016A000247,v14,9,850000
1952-10-01,Alberta,2016A000248,v15,10,985000
1952-10-01,British Columbia,2016A000259,v3,11,1222000
1952-10-01,Yukon,2016A000260,v4,12,9000
1952-10-01,Northwest Territories including Nunavut,,v5,13,16000
1953-01-01,Canada,2016A000011124,v1,1,14682000
1953-01-01,Newfoundland and Labrador,2016A000210,v2,2,379000
1953-01-01,Prince Edward Island,2016A000211,v8,3,101000
1953-01-01,Nova Scotia,2016A000212,v9,4,660000
1953-01-01,New Brunswick,2016A000213,v10,5,530000
1953-01-01,Quebec,2016A000224,v11,6,4228000
1953-01-01,Ontario,2016A000235,v12,7,4876000
1953-01-01,Manitoba,2016A000246,v13,8,804000
1953-01-01,Saskatchewan,2016A000247,v14,9,852000
1953-01-01,Alberta,2016A000248,v15,10,994000
1953-01-01,British Columbia,2016A000259,v3,11,1233000
1953-01-01,Yukon,2016A000260,v4,12,9000
1953-01-01,Northwest Territories including Nunavut,,v5,13,16000
1953-04-01,Canada,2016A000011124,v1,1,14763000
1953-04-01,Newfoundland and Labrador,2016A000210,v2,2,382000
1953-04-01,Prince Edward Island,2016A000211,v8,3,101000
1953-04-01,Nova Scotia,2016A000212,v9,4,662000
1953-04-01,New Brunswick,2016A000213,v10,5,532000
1953-04-01,Quebec,2016A000224,v11,6,4249000
1953-04-01,Ontario,2016A000235,v12,7,4907000
1953-04-01,Manitoba,2016A000246,v13,8,806000
1953-04-01,Saskatchewan,2016A000247,v14,9,855000
1953-04-01,Alberta,2016A000248,v15,10,1002000
1953-04-01,British Columbia,2016A000259,v3,11,1242000
1953-04-01,Yukon,2016A000260,v4,12,9000
1953-04-01,Northwest Territories including Nunavut,,v5,13,16000
1953-07-01,Canada,2016A000011124,v1,1,14886000
1953-07-01,Newfoundland and Labrador,2016A000210,v2,2,384000
1953-07-01,Prince Edward Island,2016A000211,v8,3,101000
1953-07-01,Nova Scotia,2016A000212,v9,4,664000
1953-07-01,New Brunswick,2016A000213,v10,5,533000
1953-07-01,Quebec,2016A000224,v11,6,4281000
1953-07-01,Ontario,2016A000235,v12,7,4956000
1953-07-01,Manitoba,2016A000246,v13,8,810000
1953-07-01,Saskatchewan,2016A000247,v14,9,863000
1953-07-01,Alberta,2016A000248,v15,10,1016000
1953-07-01,British Columbia,2016A000259,v3,11,1253000
1953-07-01,Yukon,2016A000260,v4,12,9000
1953-07-01,Northwest Territories including Nunavut,,v5,13,16000
1953-10-01,Canada,2016A000011124,v1,1,15001000
1953-10-01,Newfoundland and Labrador,2016A000210,v2,2,387000
1953-10-01,Prince Edward Island,2016A000211,v8,3,101000
1953-10-01,Nova Scotia,2016A000212,v9,4,667000
1953-10-01,New Brunswick,2016A000213,v10,5,535000
1953-10-01,Quebec,2016A000224,v11,6,4310000
1953-10-01,Ontario,2016A000235,v12,7,5002000
1953-10-01,Manitoba,2016A000246,v13,8,814000
1953-10-01,Saskatchewan,2016A000247,v14,9,866000
1953-10-01,Alberta,2016A000248,v15,10,1029000
1953-10-01,British Columbia,2016A000259,v3,11,1265000
1953-10-01,Yukon,2016A000260,v4,12,9000
1953-10-01,Northwest Territories including Nunavut,,v5,13,16000
1954-01-01,Canada,2016A000011124,v1,1,15105000
1954-01-01,Newfoundland and Labrador,2016A000210,v2,2,390000
1954-01-01,Prince Edward Island,2016A000211,v8,3,101000
1954-01-01,Nova Scotia,2016A000212,v9,4,668000
1954-01-01,New Brunswick,2016A000213,v10,5,537000
1954-01-01,Quebec,2016A000224,v11,6,4337000
